road_name,Start_point,End_point,delay_min,speed_kmh,duration_in_traffic_min,distance_km,traffic_condition
الإمام أحمد بن حنبل,"(24.768106, 46.8907119)","(24.6997523, 46.7768732)",0.32222222222222224,51.13938139247035,24.855555555555554,21.084333333333333,Blue
الامام الشافعي,"(24.7318305, 46.815598)","(24.6784302, 46.7817122)",0.35185185185185186,34.64414116226678,19.65185185185185,11.294,Blue
الباطن,"(24.7631338, 46.8028881)","(24.642655, 46.7315306)",3.7648148148148146,45.77430421502674,30.759259259259256,22.581222222222223,Blue
البستان,"(24.7031341, 46.66630929999999)","(24.6959039, 46.6135303)",0.9592592592592594,44.98585057954961,12.99074074074074,9.310777777777778,Blue
البشائر,"(24.7139597, 46.8227108)","(24.6825958, 46.790484)",-0.5425925925925926,34.81853024100806,13.242592592592594,7.621333333333333,Blue
البيت العتيق,"(24.8112938, 46.7445247)","(24.7994054, 46.7188421)",0.9148148148148147,38.11242548237697,12.018518518518519,7.551777777777777,Yellow
التخصصي,"(24.7577072, 46.6898516)","(24.6509204, 46.6367462)",2.011111111111111,47.90630444628687,29.14074074074074,22.838555555555555,Blue
التعاون,"(24.785114, 46.7126813)","(24.7611094, 46.6864381)",-0.337037037037037,39.81788138728413,10.12037037037037,6.707111111111112,Blue
التنهاة,"(24.7570374, 46.5981595)","(24.7397288, 46.58851749999999)",0.137037037037037,44.843418770449155,12.37037037037037,9.115,Blue
الجبل الأبيض,"(24.7987395, 46.6509222)","(24.7389743, 46.6023784)",-0.5925925925925926,46.81011455120668,16.266666666666666,12.612666666666666,Blue
الحجل,"(24.7887347, 46.6807956)","(24.7847265, 46.6727974)",1.3611111111111112,40.98135013713356,9.838888888888889,6.4943333333333335,Orange
الحدبه,"(24.6195884, 46.7282071)","(24.5895889, 46.7234866)",2.3314814814814815,27.427084768386493,15.975925925925926,6.976000000000001,Blue
الحميمة,"(24.6196381, 46.7297178)","(24.5983228, 46.6952861)",1.5759259259259262,24.02371383480538,21.835185185185182,8.459111111111111,Blue
الحنكة,"(24.7861326, 46.7233733)","(24.7270423, 46.6850215)",1.175925925925926,46.319625005573464,15.083333333333334,11.405777777777779,Blue
الحيازين,"(24.7685712, 46.7794439)","(24.6891896, 46.77233709999999)",0.7870370370370371,36.65187745407534,22.479629629629628,13.53,Blue
الخزان,"(24.6410953, 46.7260923)","(24.6339923, 46.6880403)",0.7425925925925925,28.542371226306418,16.774074074074075,7.642666666666666,Blue
الخزرج,"(24.7851293, 46.6850215)","(24.7573837, 46.6596712)",0.6537037037037038,37.65606677714635,11.62037037037037,7.174,Blue
الخضر النيسابوري,"(24.7628082, 46.7662896)","(24.7368424, 46.7121969)",-0.29444444444444445,34.35893872385136,16.024074074074075,9.109777777777778,Blue
الخيم,"(24.6615875, 46.6578609)","(24.6092857, 46.5951461)",-0.6907407407407408,38.99255973658216,22.953703703703702,14.670111111111112,Blue
الدائري الثاني,"(24.7607903, 46.8688931)","(24.655751, 46.8446611)",-0.33888888888888885,57.743852548432564,18.12777777777778,17.349,Blue
الربيع - اليرموك,"(24.8246022, 46.80901840000001)","(24.7913163, 46.7581815)",0.07407407407407408,29.92356583467674,20.253703703703703,10.084333333333333,Blue
الرسان,"(24.7279212, 46.7947917)","(24.6946911, 46.7618374)",0.007407407407407394,42.80236137568845,14.31851851851852,10.179777777777778,Blue
السعادات,"(24.7175308, 46.8558487)","(24.6776424, 46.8168152)",0.3351851851851852,36.16637750720251,15.868518518518519,9.484,Blue
السفح,"(24.6130618, 46.720428)","(24.5733974, 46.6964938)",0.49814814814814806,32.79380757297474,16.714814814814815,8.946222222222223,Blue
السماحة,"(24.6255002, 46.6893988)","(24.5726548, 46.6453418)",-0.8925925925925926,38.13785429850727,20.188888888888886,12.463555555555555,Blue
الشبارقة,"(24.7619765, 46.8342524)","(24.7252447, 46.7944167)",-0.3055555555555556,49.16619416038397,9.418518518518518,7.657777777777778,Blue
الشرق,"(24.9968329, 47.0206171)","(24.8395321, 46.8220266)",-0.4722222222222223,76.59053132180772,25.327777777777776,32.181,Blue
الشعيرة,"(24.7468638, 46.7478493)","(24.7443783, 46.7114419)",0.31851851851851853,41.980948899070036,11.70185185185185,8.046777777777777,Blue
الشموس,"(24.7190346, 46.8223324)","(24.7058256, 46.7774781)",-0.7518518518518519,27.819569001119234,13.348148148148148,6.164,Blue
الشيخ جابر الأحمد الصباح,"(24.8400346, 46.83012739999999)","(24.7790607, 46.7865516)",1.596296296296296,43.24570168336848,18.392592592592592,13.076666666666666,Blue
الشيخ حسن بن حسين بن علي,"(24.8467573, 46.7865516)","(24.7617666, 46.7381783)",1.9518518518518517,48.60502231767882,20.264814814814812,16.183888888888887,Blue
الشيخ عبدالله المخضوب,"(24.7995141, 46.7094787)","(24.7878151, 46.6897762)",0.25925925925925924,39.98847092716491,11.051851851851854,7.320222222222223,Blue
الشيخ محمد بن عبدالوهاب,"(24.78522760000002, 46.5545655)","(24.75757079999997, 46.5283655)",-0.19074074074074077,43.57791996390301,11.642592592592592,8.452,Blue
الصناعية,"(24.6541091, 46.7619944)","(24.630205, 46.7308212)",1.6685185185185185,28.495820362108855,14.896296296296295,6.5024444444444445,Blue
الضحى,"(24.7706736, 46.7019289)","(24.7356204, 46.6637445)",0.35370370370370374,35.057907006806154,14.86111111111111,8.620555555555557,Blue
الضوء,"(24.8929433, 46.84344979999999)","(24.8699569, 46.8047036)",-0.75,72.13735657686587,14.666666666666666,17.622,Blue
الطحاوي,"(24.8312822, 46.61202309999999)","(24.8279201, 46.6059196)",-0.8907407407407406,46.80670878411079,11.08888888888889,8.64111111111111,Blue
الطريق الدائري الجنوبي الفرعي,"(24.641973, 46.8204406)","(24.5383879, 46.5933382)",6.172222222222222,37.695855972089795,49.337037037037035,30.17677777777778,Blue
العباس بن عبدالمطلب,"(24.7841274, 46.7266965)","(24.7663703, 46.6898516)",0.3425925925925926,45.90625308299449,10.703703703703702,8.040444444444445,Blue
العريجاء,"(24.6361119, 46.6731787)","(24.6126837, 46.6396075)",0.08888888888888889,32.39985109086839,11.905555555555557,6.348,Blue
العزايزه,"(24.6123559, 46.8088237)","(24.5613804, 46.7373393)",-0.124074074074074,43.23423962422049,26.93148148148148,19.191333333333333,Blue
العقيق,"(24.7938496, 46.6473255)","(24.7535059, 46.6128186)",-0.22962962962962966,49.04267325717161,9.487037037037036,7.665,Blue
العوفي,"(24.9387209, 46.941659)","(24.8809379, 46.8907119)",-0.4111111111111111,40.44161255136827,28.738888888888887,19.366,Blue
العينة,"(24.6479744, 46.592133)","(24.640628, 46.5710461)",1.6611111111111108,43.75568521559204,10.214814814814815,6.931444444444445,Blue
الغاط,"(24.7814243, 46.7025329)","(24.7691874, 46.6777773)",-0.16481481481481478,45.06910971697334,8.566666666666666,6.344222222222222,Blue
الغوازي,"(24.7125874, 46.8425413)","(24.7049446, 46.7981984)",-0.4703703703703704,31.346092842430526,13.746296296296297,7.153444444444444,Blue
الفروثي,"(24.764204, 46.6916631)","(24.7187709, 46.6844178)",1.0425925925925925,34.668757619265556,13.283333333333333,7.413222222222221,Yellow
الفضل اليزيدي,"(24.7509366, 46.8228622)","(24.744356, 46.7662896)",-0.8111111111111111,32.120108207633386,16.961111111111112,9.03111111111111,Blue
الفضول,"(24.7876258, 46.6967957)","(24.7288274, 46.658766)",1.8314814814814815,47.12143034977314,14.287037037037038,10.925,Blue
الفكر,"(24.6403854, 46.73696959999999)","(24.6042262, 46.6898516)",4.385185185185185,27.720795777629004,28.761111111111106,12.659666666666666,Orange
القادسية,"(24.8395969, 46.8501623)","(24.8001838, 46.7978952)",1.6685185185185185,39.230549309205614,17.581481481481482,11.386333333333333,Yellow
القاضي,"(24.7454537, 46.7146132)","(24.7408013, 46.7047977)",1.524074074074074,38.63153538113457,12.290740740740741,7.523444444444444,Blue
القريات,"(24.8239822, 46.6850215)","(24.8042754, 46.6752873)",2.0074074074074075,41.7435887044732,10.607407407407408,6.826,Blue
القضيباء,"(24.8140247, 46.7218629)","(24.7792262, 46.6819652)",0.5203703703703704,49.3591046503044,13.12037037037037,10.643444444444444,Blue
الكهف,"(24.7553203, 46.8216514)","(24.6973906, 46.81317680000001)",-0.3833333333333333,31.868041898134397,18.433333333333334,9.755,Blue
الكواكب,"(24.6976613, 46.8567756)","(24.6748499, 46.8422385)",-0.5351851851851852,52.40285656855863,12.79814814814815,11.155666666666667,Blue
المضيق,"(24.6975965, 46.7850392)","(24.6385203, 46.7118949)",3.174074074074074,29.004920177710176,30.13703703703704,13.678666666666667,Blue
المعيزيلة,"(24.8186427, 46.8597823)","(24.7649743, 46.8156829)",1.264814814814815,46.07075657713645,21.035185185185185,15.93333333333333,Blue
الملاح,"(24.6533723, 46.7454314)","(24.6162155, 46.7067607)",4.857407407407408,32.969012806022306,24.549999999999997,12.673444444444444,Yellow
الملد,"(24.79773910000002, 46.5814561)","(24.75346339999997, 46.54661769999999)",-0.6259259259259259,42.27524222999167,14.49074074074074,10.206,Blue
الملك سلمان الفرعي,"(24.8558203, 46.6801919)","(24.8423717, 46.6530339)",0.5148148148148147,56.53965771184167,7.548148148148148,7.005,Blue
