road_name,start_point,end_point,distance_km
Discovery Blvd,"(24.7661004, 46.639909)","(24.7579988, 46.6366695)",7.472309525068692
طريق عمر بن الخطاب,"(24.6698093, 46.7867024)","(24.6435462, 46.71465269999999)",9.549827063067896
التنهاة,"(24.7573192, 46.5980154)","(24.7283066, 46.5971677)",8.431800029817868
راجية,"(24.8216844, 46.7729247)","(24.8029157, 46.7628879)",8.737759917676879
شارع ابن شداد,"(24.6661187, 46.7311369)","(24.6537959, 46.676807)",7.324113177203195
Abi Safwon,"(24.9122424, 46.8107955)","(24.9048753, 46.7941568)",7.525367795729279
حسين بن سعيد المنوفي,"(24.6674637, 46.76331219999999)","(24.6644463, 46.7563454)",4.448878360950026
Umm Al Hamam,"(24.7122956, 46.6657839)","(24.6701422, 46.64889429999999)",6.0734515943830765
الشموس,"(24.718997, 46.8222716)","(24.7049765, 46.7764039)",6.1101515109516615
الطريق الدائري الجنوبي الفرعي,"(24.6420456, 46.8205982)","(24.5853478, 46.7106843)",13.14794046288746
الطريق الدائري الجنوبي الفرعي,"(24.5853478, 46.7106843)","(24.5426611, 46.6270981)",11.92755624447607
الطريق الدائري الجنوبي الفرعي,"(24.5426611, 46.6270981)","(24.5463166, 46.6226225)",2.864761361905537
طريق الامام  سعود بن فيصل,"(24.8155743, 46.6608534)","(24.796827, 46.5643251)",12.870553999560585
طريق الامام  سعود بن فيصل,"(24.796827, 46.5643251)","(24.7725523, 46.56553299999999)",3.4668269509360634
King Saud,"(24.6931853, 46.7191033)","(24.6441545, 46.6448197)",12.266268497549301
الملك عبدالله,"(24.7599641, 46.7617854)","(24.7003512, 46.7228833)",10.553795973766888
الجبل الأبيض,"(24.7986638, 46.651131)","(24.7333613, 46.61165450000001)",10.472652779469747
AL Hadad,"(24.6927651, 46.7943949)","(24.6395493, 46.7947988)",10.050909875751717
الحنكة,"(24.7862046, 46.7233369)","(24.731336, 46.6876334)",10.325500892427423
القادسية,"(24.8395941, 46.8501779)","(24.8004677, 46.7999237)",10.386240679288528
شارع الوقار,"(24.7856671, 46.7619383)","(24.7556668, 46.7093702)",10.15176780293546
Al Ghareeb,"(24.7235126, 46.7900656)","(24.6781918, 46.7491328)",10.212529584303224
Tariq Bin Shabab,"(24.622591, 46.7670683)","(24.5786224, 46.7431343)",10.010564871746805
الياسمين,"(24.8427759, 46.6700824)","(24.8005994, 46.61459989999999)",9.476427238681127
Al Falah,"(24.8092115, 46.7223044)","(24.7850233, 46.6956247)",8.59359906896428
وادي درعة,"(24.662828, 46.8265171)","(24.6354831, 46.7687661)",8.370625177888106
حلبان,"(24.8036562, 46.78293619999999)","(24.7740269, 46.7376083)",8.080917846232632
Sabta,"(24.7648682, 46.6698285)","(24.7234426, 46.6544716)",7.686848673023416
Al Rafaih,"(24.6504677, 46.6764176)","(24.6265686, 46.6444919)",7.182123363122651
ممر الجوابرة,"(24.7358603, 46.6683299)","(24.7033843, 46.6339255)",7.262568598799724
الباطن,"(24.7629735, 46.8026235)","(24.6705, 46.7815592)",15.09500469838201
الباطن,"(24.6705, 46.7815592)","(24.6439747, 46.7303048)",6.9771907521705705
